borough_community_district,lat,lon
308,40.67436434245931,-73.9465993051438
414,40.58913658682808,-73.81028025427278
204,40.83381622798279,-73.92079849259986
228,40.86867874997127,-73.80701532635037
205,40.85275439813653,-73.9095816676348
313,40.58065685382311,-73.98213811134497
311,40.60722034378501,-73.99363979913583
484,40.60875120691594,-73.82109702590638
310,40.62332271004249,-74.02346785651751
410,40.669410647070016,-73.83268208002974
164,40.78248050165511,-73.96556183258012
203,40.83256401793431,-73.89865191063737
206,40.84961164449834,-73.8875312137886
226,40.897067759608156,-73.88661220017246
480,40.77451261639777,-73.8745588237911
105,40.752283979219584,-73.98405857559759
210,40.83865470043866,-73.82184159339339
412,40.6915918729577,-73.77843647373336
318,40.62414425348736,-73.91401668411777
104,40.75542991322016,-73.99753806455438
107,40.78717436288757,-73.97612760155438
312,40.63123451111684,-73.98325984508062
315,40.594485148828575,-73.94985315035676
111,40.80445898115548,-73.96037812886823
403,40.75824218117929,-73.87693951977815
404,40.74085354731935,-73.8714974003532
302,40.69350021031189,-73.97873104450552
303,40.68769447745026,-73.9405630963267
304,40.694557214096214,-73.9168355982648
309,40.662805943456995,-73.94692501041095
355,40.662741559110515,-73.96896135564305
503,40.54124430132935,-74.19030119145067
106,40.74468088439482,-73.974597701078
408,40.72618038951413,-73.79735643615975
102,40.72980832393808,-74.00152962657737
402,40.74048031377751,-73.92301980241282
101,40.707943954391204,-74.01094512097666
595,40.565760328944954,-74.10056346548437
356,40.60749943740278,-73.87746740993221
314,40.631857160425376,-73.95911983092319
103,40.71960408082722,-73.98554244296804
301,40.7168478268001,-73.94717223891317
413,40.69956963981649,-73.73734783837006
483,40.646992612027944,-73.78611088168948
109,40.8180614361032,-73.95503122499493
110,40.813696023763164,-73.9447381392708
108,40.774433478645875,-73.95743197580784
401,40.76458083051613,-73.92160968897628
207,40.87098323988024,-73.89145811194977
316,40.66816389831677,-73.91094411904628
317,40.64804969104889,-73.93382089493541
407,40.77146709285771,-73.81603832956544
411,40.7566174621016,-73.75918617490902
201,40.810917227653086,-73.91647076399472
306,40.67638209684267,-73.99445169115201
307,40.651995444178795,-74.00105921827861
482,40.702539721217946,-73.85199276018344
405,40.7107704565209,-73.89053601265127
112,40.85512346202228,-73.93152328405328
208,40.890510005803876,-73.90629826121761
406,40.72217627016461,-73.8513504275163
481,40.74175518912971,-73.841391073088
212,40.88630701108921,-73.85149635013404
501,40.626587749755956,-74.12034374160281
502,40.593194899566214,-74.14180978481035
202,40.81347123228045,-73.88780202107363
209,40.82478122427909,-73.86165736655957
211,40.85615506987508,-73.8527766266117
227,40.85682364896806,-73.87561049640291
305,40.668487304355814,-73.87971357865469
409,40.694844830664316,-73.83906647187744
