,report_date,borough,individuals
222,2019-08-31,Unknown,436
223,2020-11-30,Queens,7484
224,2021-02-28,Outside NYC,3336
225,2022-06-30,Staten Island,740
226,2020-08-31,Staten Island,1012
228,2022-10-31,Unknown,435
229,2019-02-28,Brooklyn,16113
231,2020-02-29,Brooklyn,15273
232,2023-11-30,Bronx,19381
234,2022-09-30,Brooklyn,12371
236,2019-03-31,Brooklyn,16038
237,2021-07-31,Bronx,15233
239,2023-03-31,Outside NYC,21751
241,2021-05-31,Queens,6491
242,2019-07-31,Manhattan,8937
243,2020-02-29,Queens,8356
245,2020-01-31,Outside NYC,3716
246,2021-03-31,Outside NYC,3241
247,2021-12-31,Outside NYC,3389
248,2019-09-30,Unknown,457
249,2022-03-31,Brooklyn,11200
250,2019-08-31,Brooklyn,15430
251,2020-05-31,Staten Island,1103
252,2022-06-30,Outside NYC,5165
256,2019-08-31,Staten Island,1218
257,2019-09-30,Manhattan,9136
259,2021-11-30,Bronx,15677
260,2021-06-30,Unknown,290
261,2021-02-28,Staten Island,902
263,2021-11-30,Queens,5950
264,2023-09-30,Bronx,19116
265,2022-10-31,Brooklyn,12701
266,2023-09-30,Manhattan,14241
267,2020-10-31,Manhattan,9123
269,2023-01-31,Unknown,560
270,2021-02-28,Unknown,399
271,2019-05-31,Brooklyn,15357
272,2022-05-31,Brooklyn,11222
273,2019-04-30,Outside NYC,3449
274,2019-12-31,Outside NYC,3699
275,2021-05-31,Staten Island,800
276,2023-04-30,Outside NYC,24422
277,2019-02-28,Outside NYC,3488
278,2022-07-31,Staten Island,676
279,2019-06-30,Queens,8185
280,2019-08-31,Queens,8302
281,2022-04-30,Outside NYC,3888
283,2019-11-30,Queens,8450
284,2020-07-31,Queens,7761
285,2021-04-30,Staten Island,850
287,2023-10-31,Queens,8991
288,2022-09-30,Queens,6449
290,2022-05-31,Queens,5849
291,2021-09-30,Manhattan,8216
292,2022-08-31,Manhattan,9515
293,2020-06-30,Queens,7848
294,2021-03-31,Manhattan,9138
295,2019-10-31,Outside NYC,3814
296,2021-08-31,Outside NYC,3169
297,2019-11-30,Bronx,21044
298,2021-01-31,Outside NYC,3372
299,2023-10-31,Manhattan,15558
300,2021-12-31,Bronx,15379
301,2021-08-31,Queens,5973
303,2020-01-31,Unknown,445
304,2020-10-31,Outside NYC,3354
306,2019-12-31,Unknown,451
308,2020-04-30,Bronx,19613
309,2023-08-31,Outside NYC,26986
311,2020-07-31,Unknown,410
312,2022-01-31,Staten Island,740
313,2021-09-30,Staten Island,764
314,2023-01-31,Bronx,17246
315,2020-07-31,Staten Island,1008
318,2019-02-28,Manhattan,9105
319,2020-05-31,Bronx,19482
320,2020-04-30,Queens,8140
321,2020-07-31,Manhattan,9130
323,2019-12-31,Brooklyn,15418
324,2023-07-31,Brooklyn,13579
325,2020-01-31,Bronx,20738
326,2019-05-31,Outside NYC,3533
327,2021-01-31,Queens,7303
328,2020-02-29,Bronx,20393
329,2021-03-31,Unknown,400
332,2023-06-30,Brooklyn,13169
333,2021-12-31,Unknown,308
335,2020-02-29,Staten Island,1234
